,Links,Names,Prices,Car Type
24,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9522679/,2021 Tesla Model 3,"$53,280 ","Airdrie, AB"
25,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9522598/,2022 Tesla Model 3,"$57,380 ","Saskatoon, SK"
26,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-nissan-leaf-9522346/,2019 Nissan Leaf,"$37,780 ","Saskatoon, SK"
27,http://carpages.ca/used-cars/saskatchewan/saskatoon/2017-hyundai-ioniq-9522325/,2017 Hyundai IONIQ,"$32,380 ","Saskatoon, SK"
28,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9522322/,2020 Tesla Model 3,"$51,380 ","Saskatoon, SK"
29,http://carpages.ca/used-cars/saskatchewan/saskatoon/2017-hyundai-ioniq-9522307/,2017 Hyundai IONIQ,"$35,780 ","Saskatoon, SK"
30,http://carpages.ca/used-cars/alberta/airdrie/2015-chevrolet-spark-9522268/,2015 Chevrolet Spark,"$20,880 ","Airdrie, AB"
31,http://carpages.ca/used-cars/alberta/airdrie/2018-tesla-model-3-9522142/,2018 Tesla Model 3,"$48,880 ","Airdrie, AB"
32,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-hyundai-kona-9522106/,2020 Hyundai KONA,"$50,780 ","Saskatoon, SK"
33,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-hyundai-ioniq-9522082/,2019 Hyundai IONIQ,"$36,380 ","Saskatoon, SK"
34,http://carpages.ca/used-cars/alberta/airdrie/2019-tesla-model-3-9522055/,2019 Tesla Model 3,"$51,280 ","Airdrie, AB"
35,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9522052/,2021 Tesla Model 3,"$53,780 ","Saskatoon, SK"
36,http://carpages.ca/used-cars/alberta/airdrie/2020-tesla-model-3-9522049/,2020 Tesla Model 3,"$51,280 ","Airdrie, AB"
37,http://carpages.ca/used-cars/alberta/airdrie/2017-nissan-leaf-9521995/,2017 Nissan Leaf,"$29,280 ","Airdrie, AB"
38,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9521977/,2021 Tesla Model 3,"$53,280 ","Airdrie, AB"
39,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-hyundai-ioniq-9521965/,2019 Hyundai IONIQ,"$43,780 ","Saskatoon, SK"
40,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9521845/,2021 Tesla Model 3,"$55,280 ","Airdrie, AB"
41,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9521767/,2021 Tesla Model 3,"$54,280 ","Airdrie, AB"
42,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9521719/,2022 Tesla Model 3,"$56,780 ","Saskatoon, SK"
43,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9521692/,2021 Tesla Model 3,"$55,280 ","Airdrie, AB"
44,http://carpages.ca/used-cars/alberta/airdrie/2020-tesla-model-3-9521668/,2020 Tesla Model 3,"$63,280 ","Airdrie, AB"
45,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9521578/,2022 Tesla Model 3,"$58,780 ","Saskatoon, SK"
46,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9521470/,2020 Tesla Model 3,"$53,780 ","Saskatoon, SK"
47,http://carpages.ca/used-cars/alberta/airdrie/2017-tesla-model-x-9521461/,2017 Tesla Model X,"$84,280 ","Airdrie, AB"
48,http://carpages.ca/used-cars/alberta/airdrie/2019-tesla-model-x-9521374/,2019 Tesla Model X,"$101,280 ","Airdrie, AB"
49,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9521341/,2021 Tesla Model 3,"$55,880 ","Airdrie, AB"
50,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9521179/,2021 Tesla Model 3,"$55,780 ","Saskatoon, SK"
51,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9521038/,2021 Tesla Model 3,"$54,780 ","Saskatoon, SK"
52,http://carpages.ca/used-cars/saskatchewan/saskatoon/2018-tesla-model-3-9521020/,2018 Tesla Model 3,"$49,380 ","Saskatoon, SK"
53,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9521005/,2020 Tesla Model 3,"$63,780 ","Saskatoon, SK"
54,http://carpages.ca/used-cars/saskatchewan/saskatoon/2017-nissan-leaf-9520990/,2017 Nissan Leaf,"$29,780 ","Saskatoon, SK"
55,http://carpages.ca/used-cars/alberta/airdrie/2015-nissan-leaf-9520921/,2015 Nissan Leaf,"$22,280 ","Airdrie, AB"
56,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9520798/,2022 Tesla Model 3,"$57,280 ","Airdrie, AB"
57,http://carpages.ca/used-cars/ontario/brampton/2022-polestar-polestar-2-9520792/,2022 Polestar POLESTAR 2,"$67,980 ","Brampton, ON"
58,http://carpages.ca/used-cars/alberta/airdrie/2020-tesla-model-3-9520789/,2020 Tesla Model 3,"$53,880 ","Airdrie, AB"
59,http://carpages.ca/used-cars/ontario/brampton/2019-hyundai-ioniq-9520723/,2019 Hyundai IONIQ,"$35,580 ","Brampton, ON"
60,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9520693/,2021 Tesla Model 3,"$54,580 ","Brampton, ON"
61,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9520645/,2020 Tesla Model 3,"$51,980 ","Brampton, ON"
62,http://carpages.ca/used-cars/alberta/airdrie/2020-tesla-model-3-9520558/,2020 Tesla Model 3,"$64,280 ","Airdrie, AB"
63,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-3-9520534/,2022 Tesla Model 3,"$56,980 ","Brampton, ON"
64,http://carpages.ca/used-cars/alberta/airdrie/2022-polestar-polestar-2-9520498/,2022 Polestar POLESTAR 2,"$68,280 ","Airdrie, AB"
65,http://carpages.ca/used-cars/ontario/brampton/2018-tesla-model-x-9520363/,2018 Tesla Model X,"$89,980 ","Brampton, ON"
66,http://carpages.ca/used-cars/saskatchewan/saskatoon/2018-tesla-model-3-9520342/,2018 Tesla Model 3,"$49,380 ","Saskatoon, SK"
67,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-chevrolet-bolt-9520276/,2019 Chevrolet Bolt,"$41,380 ","Saskatoon, SK"
68,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9520255/,2021 Tesla Model 3,"$55,880 ","Airdrie, AB"
69,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9520126/,2022 Tesla Model 3,"$59,280 ","Airdrie, AB"
70,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-3-9520123/,2022 Tesla Model 3,"$57,980 ","Brampton, ON"
71,http://carpages.ca/used-cars/ontario/brampton/2017-tesla-model-x-9520087/,2017 Tesla Model X,"$83,980 ","Brampton, ON"
72,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9520018/,2022 Tesla Model 3,"$59,780 ","Saskatoon, SK"
73,http://carpages.ca/used-cars/ontario/brampton/2021-hyundai-kona-9519997/,2021 Hyundai KONA,"$50,980 ","Brampton, ON"
74,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-tesla-model-3-9519979/,2019 Tesla Model 3,"$51,780 ","Saskatoon, SK"
75,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9519946/,2021 Tesla Model 3,"$55,780 ","Saskatoon, SK"
76,http://carpages.ca/used-cars/ontario/brampton/2017-hyundai-ioniq-9519934/,2017 Hyundai IONIQ,"$34,980 ","Brampton, ON"
77,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9519880/,2021 Tesla Model 3,"$54,980 ","Brampton, ON"
78,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-hyundai-kona-9519877/,2019 Hyundai KONA,"$50,380 ","Saskatoon, SK"
79,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9519847/,2020 Tesla Model 3,"$62,980 ","Brampton, ON"
80,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9519844/,2020 Tesla Model 3,"$64,780 ","Saskatoon, SK"
81,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9519811/,2021 Tesla Model 3,"$55,580 ","Brampton, ON"
82,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9519733/,2021 Tesla Model 3,"$53,780 ","Saskatoon, SK"
83,http://carpages.ca/used-cars/saskatchewan/saskatoon/2015-chevrolet-spark-9519718/,2015 Chevrolet Spark,"$21,380 ","Saskatoon, SK"
84,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9519712/,2021 Tesla Model 3,"$56,380 ","Saskatoon, SK"
85,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9519673/,2021 Tesla Model 3,"$54,980 ","Brampton, ON"
86,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-hyundai-kona-9519652/,2021 Hyundai KONA,"$51,780 ","Saskatoon, SK"
87,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-tesla-model-3-9519619/,2019 Tesla Model 3,"$50,780 ","Saskatoon, SK"
88,http://carpages.ca/used-cars/ontario/brampton/2016-tesla-model-s-9519610/,2016 Tesla Model S,"$65,980 ","Brampton, ON"
89,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9519601/,2020 Tesla Model 3,"$51,780 ","Saskatoon, SK"
90,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9519514/,2021 Tesla Model 3,"$54,980 ","Brampton, ON"
91,http://carpages.ca/used-cars/manitoba/winnipeg/2022-bmw-x3-9519475/,2022 BMW X3,"$70,991 ","Winnipeg, MB"
92,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9519427/,2021 Tesla Model 3,"$52,980 ","Brampton, ON"
93,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9519418/,2020 Tesla Model 3,"$50,580 ","Brampton, ON"
94,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9519313/,2020 Tesla Model 3,"$53,580 ","Brampton, ON"
95,http://carpages.ca/used-cars/ontario/brampton/2019-tesla-model-3-9519292/,2019 Tesla Model 3,"$50,980 ","Brampton, ON"
96,http://carpages.ca/used-cars/ontario/brampton/2019-hyundai-ioniq-9519262/,2019 Hyundai IONIQ,"$42,980 ","Brampton, ON"
97,http://carpages.ca/used-cars/ontario/brampton/2017-nissan-leaf-9519196/,2017 Nissan Leaf,"$28,980 ","Brampton, ON"
98,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9519187/,2020 Tesla Model 3,"$50,980 ","Brampton, ON"
99,http://carpages.ca/used-cars/alberta/airdrie/2018-kia-soul-9518998/,2018 Kia Soul,"$31,280 ","Airdrie, AB"
100,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9518974/,2021 Tesla Model 3,"$55,580 ","Brampton, ON"
101,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9518959/,2021 Tesla Model 3,"$55,280 ","Airdrie, AB"
102,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-3-9518947/,2022 Tesla Model 3,"$58,980 ","Brampton, ON"
103,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-3-9518884/,2022 Tesla Model 3,"$57,580 ","Brampton, ON"
104,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9518815/,2021 Tesla Model 3,"$55,780 ","Saskatoon, SK"
105,http://carpages.ca/used-cars/alberta/airdrie/2017-nissan-leaf-9518788/,2017 Nissan Leaf,"$25,980 ","Airdrie, AB"
106,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9518713/,2021 Tesla Model 3,"$54,980 ","Brampton, ON"
107,http://carpages.ca/used-cars/saskatchewan/saskatoon/2015-nissan-leaf-9518686/,2015 Nissan Leaf,"$22,780 ","Saskatoon, SK"
108,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9518539/,2022 Tesla Model 3,"$57,780 ","Saskatoon, SK"
109,http://carpages.ca/used-cars/ontario/brampton/2015-chevrolet-spark-9518515/,2015 Chevrolet Spark,"$20,580 ","Brampton, ON"
110,http://carpages.ca/used-cars/alberta/airdrie/2016-kia-soul-9518371/,2016 Kia Soul,"$24,980 ","Airdrie, AB"
111,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9518251/,2021 Tesla Model 3,"$55,380 ","Saskatoon, SK"
112,http://carpages.ca/used-cars/ontario/brampton/2019-tesla-model-x-9518248/,2019 Tesla Model X,"$100,980 ","Brampton, ON"
113,http://carpages.ca/used-cars/saskatchewan/saskatoon/2018-kia-soul-9518239/,2018 Kia Soul,"$31,780 ","Saskatoon, SK"
114,http://carpages.ca/used-cars/saskatchewan/saskatoon/2020-tesla-model-3-9518182/,2020 Tesla Model 3,"$54,380 ","Saskatoon, SK"
115,http://carpages.ca/new-cars/saskatchewan/saskatoon/2023-jeep-wrangler-9517915/,2023 Jeep Wrangler,"$61,280 ","Saskatoon, SK"
116,http://carpages.ca/new-cars/saskatchewan/saskatoon/2023-jeep-wrangler-9517906/,2023 Jeep Wrangler,"$64,270 ","Saskatoon, SK"
117,http://carpages.ca/new-cars/saskatchewan/saskatoon/2023-ram-1500-9517897/,2023 RAM 1500,"$87,795 ","Saskatoon, SK"
118,http://carpages.ca/new-cars/saskatchewan/saskatoon/2023-ram-1500-9517795/,2023 RAM 1500,"$72,480 ","Saskatoon, SK"
119,http://carpages.ca/used-cars/saskatchewan/saskatoon/2017-tesla-model-x-9517729/,2017 Tesla Model X,"$84,780 ","Saskatoon, SK"
120,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9517693/,2021 Tesla Model 3,"$54,780 ","Saskatoon, SK"
121,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-polestar-polestar-2-9517636/,2022 Polestar POLESTAR 2,"$68,780 ","Saskatoon, SK"
122,http://carpages.ca/used-cars/ontario/brampton/2019-tesla-model-3-9517630/,2019 Tesla Model 3,"$49,980 ","Brampton, ON"
123,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9517537/,2021 Tesla Model 3,"$53,980 ","Brampton, ON"
124,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9517489/,2020 Tesla Model 3,"$63,980 ","Brampton, ON"
125,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9517408/,2021 Tesla Model 3,"$56,380 ","Saskatoon, SK"
126,http://carpages.ca/used-cars/ontario/brampton/2018-kia-soul-9517327/,2018 Kia Soul,"$30,980 ","Brampton, ON"
127,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9517252/,2021 Tesla Model 3,"$55,780 ","Saskatoon, SK"
128,http://carpages.ca/used-cars/ontario/brampton/2018-tesla-model-3-9517093/,2018 Tesla Model 3,"$48,580 ","Brampton, ON"
129,http://carpages.ca/used-cars/ontario/brampton/2015-nissan-leaf-9516958/,2015 Nissan Leaf,"$21,980 ","Brampton, ON"
130,http://carpages.ca/used-cars/saskatchewan/saskatoon/2017-nissan-leaf-9516943/,2017 Nissan Leaf,"$24,990 ","Saskatoon, SK"
131,http://carpages.ca/used-cars/ontario/brampton/2017-nissan-leaf-9516670/,2017 Nissan Leaf,"$26,480 ","Brampton, ON"
132,http://carpages.ca/used-cars/saskatchewan/saskatoon/2016-kia-soul-9516463/,2016 Kia Soul,"$23,990 ","Saskatoon, SK"
133,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-y-9516370/,2022 Tesla Model Y,"$81,480 ","Brampton, ON"
134,http://carpages.ca/used-cars/alberta/airdrie/2019-chevrolet-bolt-9516310/,2019 Chevrolet Bolt,"$35,590 ","Airdrie, AB"
135,http://carpages.ca/used-cars/quebec/saint-henri-de-levis/2012-chevrolet-volt-9516295/,2012 Chevrolet Volt,"$5,500 ","Saint Henri de Lévis, QC"
136,http://carpages.ca/used-cars/ontario/brampton/2016-kia-soul-9516268/,2016 Kia Soul,"$25,480 ","Brampton, ON"
137,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9515818/,2022 Tesla Model 3,"$55,990 ","Airdrie, AB"
138,http://carpages.ca/new-cars/manitoba/treherne/2023-ford-escape-9515428/,2023 Ford Escape,"$50,274 ","Treherne, MB"
139,http://carpages.ca/used-cars/ontario/brampton/2017-tesla-model-s-9515101/,2017 Tesla Model S,"$71,480 ","Brampton, ON"
140,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-chevrolet-bolt-9514822/,2019 Chevrolet Bolt,"$36,580 ","Saskatoon, SK"
141,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9514756/,2021 Tesla Model 3,"$61,480 ","Brampton, ON"
142,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9514645/,2020 Tesla Model 3,"$51,480 ","Brampton, ON"
143,http://carpages.ca/new-cars/ontario/peterborough/2023-ford-f-150-9514450/,2023 Ford F-150,"$61,320 ","Peterborough, ON"
144,http://carpages.ca/new-cars/ontario/peterborough/2023-ford-f-150-9514444/,2023 Ford F-150,"$60,775 ","Peterborough, ON"
145,http://carpages.ca/used-cars/ontario/brampton/2019-tesla-model-3-9514297/,2019 Tesla Model 3,"$56,480 ","Brampton, ON"
146,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9514207/,2022 Tesla Model 3,"$55,590 ","Airdrie, AB"
147,http://carpages.ca/used-cars/ontario/brampton/2019-tesla-model-3-9514054/,2019 Tesla Model 3,"$49,480 ","Brampton, ON"
148,http://carpages.ca/used-cars/ontario/brampton/2013-nissan-leaf-9513724/,2013 Nissan Leaf,"$17,480 ","Brampton, ON"
149,http://carpages.ca/used-cars/ontario/brampton/2019-hyundai-ioniq-9513586/,2019 Hyundai IONIQ,"$36,080 ","Brampton, ON"
150,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9513505/,2022 Tesla Model 3,"$56,580 ","Saskatoon, SK"
151,http://carpages.ca/used-cars/ontario/brampton/2016-nissan-leaf-9513499/,2016 Nissan Leaf,"$27,480 ","Brampton, ON"
152,http://carpages.ca/used-cars/alberta/airdrie/2015-nissan-leaf-9513460/,2015 Nissan Leaf,"$23,580 ","Airdrie, AB"
153,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9513451/,2022 Tesla Model 3,"$69,990 ","Airdrie, AB"
154,http://carpages.ca/used-cars/ontario/brampton/2016-nissan-leaf-9513415/,2016 Nissan Leaf,"$29,080 ","Brampton, ON"
155,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9513127/,2022 Tesla Model 3,"$55,990 ","Airdrie, AB"
156,http://carpages.ca/used-cars/alberta/airdrie/2019-hyundai-ioniq-9513004/,2019 Hyundai IONIQ,"$35,580 ","Airdrie, AB"
157,http://carpages.ca/used-cars/alberta/airdrie/2019-nissan-leaf-9512971/,2019 Nissan Leaf,"$38,590 ","Airdrie, AB"
158,http://carpages.ca/used-cars/ontario/brampton/2016-volkswagen-golf-9512887/,2016 Volkswagen Golf,"$33,480 ","Brampton, ON"
159,http://carpages.ca/used-cars/british-columbia/langley/2017-toyota-rav4-9512851/,2017 Toyota RAV4,"$38,990 ","Langley, BC"
160,http://carpages.ca/used-cars/saskatchewan/saskatoon/2015-nissan-leaf-9512836/,2015 Nissan Leaf,"$22,590 ","Saskatoon, SK"
161,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9512827/,2022 Tesla Model 3,"$70,980 ","Saskatoon, SK"
162,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9512524/,2022 Tesla Model 3,"$56,980 ","Saskatoon, SK"
163,http://carpages.ca/used-cars/ontario/brampton/2017-nissan-leaf-9512443/,2017 Nissan Leaf,"$29,080 ","Brampton, ON"
164,http://carpages.ca/new-cars/british-columbia/sechelt/2023-ford-mustang-mach-e-9512332/,2023 Ford Mustang MACH-E,"$101,540 ","Sechelt, BC"
165,http://carpages.ca/used-cars/ontario/brampton/2020-hyundai-ioniq-9512212/,2020 Hyundai IONIQ,"$43,480 ","Brampton, ON"
166,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-hyundai-ioniq-9512209/,2019 Hyundai IONIQ,"$34,590 ","Saskatoon, SK"
167,http://carpages.ca/used-cars/saskatchewan/saskatoon/2019-nissan-leaf-9512098/,2019 Nissan Leaf,"$39,580 ","Saskatoon, SK"
168,http://carpages.ca/used-cars/alberta/airdrie/2016-volkswagen-golf-9512044/,2016 Volkswagen Golf,"$32,980 ","Airdrie, AB"
169,http://carpages.ca/used-cars/alberta/airdrie/2016-nissan-leaf-9512038/,2016 Nissan Leaf,"$26,980 ","Airdrie, AB"
170,http://carpages.ca/used-cars/ontario/brampton/2015-nissan-leaf-9511810/,2015 Nissan Leaf,"$24,080 ","Brampton, ON"
171,http://carpages.ca/used-cars/ontario/brampton/2020-tesla-model-3-9511801/,2020 Tesla Model 3,"$51,480 ","Brampton, ON"
172,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9511669/,2022 Tesla Model 3,"$55,990 ","Airdrie, AB"
173,http://carpages.ca/used-cars/alberta/airdrie/2022-tesla-model-3-9511591/,2022 Tesla Model 3,"$55,590 ","Airdrie, AB"
174,http://carpages.ca/used-cars/ontario/brampton/2019-tesla-model-3-9511552/,2019 Tesla Model 3,"$57,480 ","Brampton, ON"
175,http://carpages.ca/used-cars/alberta/airdrie/2021-tesla-model-3-9511543/,2021 Tesla Model 3,"$60,980 ","Airdrie, AB"
176,http://carpages.ca/used-cars/ontario/brampton/2018-tesla-model-3-9511504/,2018 Tesla Model 3,"$57,480 ","Brampton, ON"
177,http://carpages.ca/used-cars/ontario/brampton/2019-nissan-leaf-9511342/,2019 Nissan Leaf,"$41,480 ","Brampton, ON"
178,http://carpages.ca/used-cars/saskatchewan/saskatoon/2016-volkswagen-golf-9511168/,2016 Volkswagen Golf,"$31,990 ","Saskatoon, SK"
179,http://carpages.ca/used-cars/saskatchewan/saskatoon/2016-nissan-leaf-9511159/,2016 Nissan Leaf,"$25,990 ","Saskatoon, SK"
180,http://carpages.ca/used-cars/ontario/brampton/2021-tesla-model-3-9511036/,2021 Tesla Model 3,"$54,080 ","Brampton, ON"
181,http://carpages.ca/used-cars/alberta/airdrie/2013-nissan-leaf-9510994/,2013 Nissan Leaf,"$16,980 ","Airdrie, AB"
182,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9510733/,2022 Tesla Model 3,"$56,980 ","Saskatoon, SK"
183,http://carpages.ca/used-cars/saskatchewan/saskatoon/2022-tesla-model-3-9510649/,2022 Tesla Model 3,"$56,580 ","Saskatoon, SK"
184,http://carpages.ca/used-cars/alberta/airdrie/2017-chevrolet-bolt-9510610/,2017 Chevrolet Bolt,"$38,990 ","Airdrie, AB"
185,http://carpages.ca/used-cars/saskatchewan/saskatoon/2021-tesla-model-3-9510601/,2021 Tesla Model 3,"$59,990 ","Saskatoon, SK"
186,http://carpages.ca/used-cars/ontario/brampton/2019-chevrolet-bolt-9510577/,2019 Chevrolet Bolt,"$36,580 ","Brampton, ON"
187,http://carpages.ca/used-cars/saskatchewan/saskatoon/2018-tesla-model-3-9510364/,2018 Tesla Model 3,"$55,990 ","Saskatoon, SK"
188,http://carpages.ca/used-cars/alberta/airdrie/2019-nissan-leaf-9510277/,2019 Nissan Leaf,"$40,980 ","Airdrie, AB"
189,http://carpages.ca/used-cars/ontario/brampton/2022-tesla-model-3-9510229/,2022 Tesla Model 3,"$56,980 ","Brampton, ON"
190,http://carpages.ca/used-cars/saskatchewan/saskatoon/2017-chevrolet-bolt-9510031/,2017 Chevrolet Bolt,"$39,980 ","Saskatoon, SK"
191,http://carpages.ca/used-cars/alberta/airdrie/2017-nissan-leaf-9509962/,2017 Nissan Leaf,"$28,580 ","Airdrie, AB"
192,http://carpages.ca/used-cars/alberta/airdrie/2019-tesla-model-3-9509863/,2019 Tesla Model 3,"$62,990 ","Airdrie, AB"
